ID,MLR,ANN,GWR,GWANN,AGWNN
51,2.088178737,1.964690421,1.358477908,1.239249946,1.039212254
52,2.046045458,1.926867569,1.062688977,0.949751853,0.668710576
53,2.012266678,1.889186031,1.248152733,1.098463793,0.905305024
54,2.094270723,1.972625354,1.451156823,1.298837452,1.12416537
55,1.976303693,1.863445564,1.111655739,0.978928869,0.785908239
56,2.0661433,1.947890666,1.362566915,1.236924108,1.026889066
57,2.10016185,1.981658618,1.084909273,0.940861492,0.795920148
58,2.018447343,1.902328922,1.157034861,1.014106007,0.793165044
59,2.080272088,1.961307301,1.15989924,1.029650647,0.761328695
60,2.142710108,2.013151311,1.573731443,1.440595993,1.220897158
61,2.027260507,1.913673424,1.143315709,0.991646355,0.759391844
62,2.24750621,2.12345038,1.640088813,1.494482144,1.262958323
63,2.037859716,1.922535704,1.206582731,1.070029626,0.8915705
64,2.095262264,1.973588871,1.44037632,1.293353483,1.090662827
65,2.097672836,1.993121728,1.11485893,0.979501201,0.75370272
66,2.122351121,1.998093083,1.173403922,1.055274939,0.853869458
67,2.120595987,2.006238446,1.237301283,1.092399051,0.892513117
68,2.069430259,1.953808411,1.144806318,0.973988566,0.816282275
69,2.29708887,2.174995336,1.804226758,1.652588334,1.448497268
70,2.207766304,2.085029145,1.609782542,1.469120582,1.296925844
71,2.278660237,2.148741353,1.661906176,1.534160628,1.287858865
72,2.047680843,1.920610522,1.173526356,1.068499595,0.884733697
73,2.091413994,1.982303516,1.186511612,1.090369018,0.841531718
74,1.991159105,1.862895524,1.161814424,1.021605132,0.861024824
75,2.131689584,2.01014955,1.388747965,1.279354672,1.008359818
76,2.059856193,1.943409503,1.097025285,0.974133108,0.763832339
77,2.121649233,2.002921124,1.301489514,1.168777379,0.950870641
78,2.101848874,1.977032729,1.52191521,1.383555291,1.162882951
79,2.006123736,1.886373538,1.060667919,0.923763453,0.788169809
80,2.049816482,1.923133071,1.094848557,0.955242433,0.757653792
81,2.051299889,1.930300828,1.259596843,1.152324464,0.913386134
82,2.069420261,1.943381033,1.079916886,0.946607702,0.743963368
83,2.188442207,2.075468223,1.634227764,1.480143588,1.303164609
84,2.053226244,1.926844163,1.156691366,1.046311469,0.816663631
85,2.046730145,1.912464325,1.095645728,0.946217134,0.798990992
86,1.974128582,1.847611607,1.205796704,1.081080938,0.919762721
87,2.161101616,2.040108662,1.293033031,1.163844555,0.984544437
88,2.062129127,1.947529421,1.054472965,0.929910767,0.730322549
89,2.047841916,1.924591807,1.13344644,0.975984741,0.771350691
90,1.978494143,1.85592916,1.112860433,0.982106387,0.816021622
91,2.041204248,1.928265258,1.262738565,1.152728287,0.913074315
92,2.05270901,1.930656285,1.252030768,1.114777422,0.912408142
93,2.118012999,1.993234742,1.192942852,1.059242454,0.862102534
94,2.079746709,1.951464274,1.102342025,0.951461669,0.69063833
95,2.187993598,2.059881387,1.131731814,0.991220565,0.799435102
96,2.035777819,1.914335633,1.042918932,0.885016364,0.75850398
97,2.05504463,1.934802667,1.055000561,0.94561141,0.705218683
98,2.102467878,1.981661809,1.384046248,1.234195106,1.03784259
99,2.002238773,1.874437578,1.076299986,0.949161469,0.735023735
100,2.116533833,2.003241585,1.189290293,1.071480203,0.791145881
101,2.02879593,1.914336499,1.028988049,0.933373706,0.682259231
102,2.152672878,2.031778054,1.55425695,1.39745262,1.174275675
103,2.082630978,1.95299359,1.277496835,1.127785105,0.97511589
104,2.096857859,1.978616398,1.325497826,1.170098967,1.026104928
105,2.235237953,2.114636991,1.655942448,1.515880314,1.272980423
106,2.060479346,1.940719824,1.129103472,1.005064798,0.822552416
107,2.124295895,2.007342651,1.096278442,0.971452831,0.731216289
108,2.132672923,2.012279527,1.303280039,1.191402107,0.963696715
109,2.121506327,2.000987891,1.335078349,1.205594935,1.018296744
110,2.013254464,1.899649052,1.141992904,1.00254728,0.817188097
111,2.028901932,1.905653566,1.241995494,1.112320294,0.89931138
112,2.059314016,1.946936744,1.131198523,1.011220648,0.79693483
113,1.9959814,1.884262643,1.251983113,1.121396649,0.93736863
114,2.216519094,2.085924218,1.600078127,1.459034985,1.236527498
115,2.074911853,1.951475196,1.221569062,1.100256117,0.901708716
116,2.229678169,2.116547902,1.549234596,1.407888427,1.184590011
117,2.134824573,2.007220537,1.225817471,1.112337132,0.890225818
118,2.096727173,1.967081256,1.311954805,1.182442534,0.992492573
119,2.043750166,1.931336111,1.216325032,1.064543773,0.905522993
120,2.059174583,1.944680004,1.12046628,0.993761987,0.754828103
121,2.044684587,1.931624402,1.078698115,0.961962414,0.724056407
122,2.062230917,1.943730425,1.261522858,1.117311779,0.930170018
123,2.097222098,1.970249288,1.17236215,1.022579197,0.839393269
124,2.191390115,2.069110108,1.510545856,1.357172001,1.163728731
125,2.016144908,1.909687813,1.37623882,1.240536133,1.07814309
126,2.081993796,1.96585481,1.407380103,1.261771061,1.057475396
127,2.106044131,1.97412452,1.231620259,1.13218787,0.914060293
128,2.159776199,2.038998099,1.343546179,1.198571352,1.021056513
129,2.222266307,2.109093125,1.389404604,1.248372639,1.017487042
130,2.048180046,1.937000005,1.072459213,0.951366284,0.697760682
131,2.077639977,1.964412999,1.048357163,0.957357998,0.721109572
132,2.341522701,2.216777938,1.649301732,1.489518897,1.323508379
133,2.040175731,1.925228386,1.128430957,0.947772526,0.780003881
134,2.037095311,1.927380528,1.131985456,1.006888171,0.781007944
135,1.954004603,1.838028958,1.053480752,0.928935856,0.694994366
136,2.101624565,1.98058122,1.13528023,1.033947742,0.807850051
137,2.027990929,1.911124482,1.297967351,1.175837968,1.018973221
138,2.092923001,1.979177367,1.422930297,1.291772764,1.077965107
139,2.047709892,1.938163507,1.060333795,0.941674287,0.723473057
140,2.107377269,1.990160305,1.342482868,1.191809182,0.99905062
141,2.017247087,1.902961998,1.184425011,1.049947443,0.876121026
142,2.038002605,1.926874675,1.150877694,1.016724772,0.783995071
143,2.123999487,1.996492456,1.216710503,1.088757964,0.811521848
144,2.135296898,2.017507564,1.454682894,1.308578542,1.053834998
145,2.025590737,1.909033624,1.187574545,1.02677646,0.87195463
146,2.045203454,1.918979653,1.103788186,0.995891148,0.742560239
147,2.217084606,2.087032254,1.641782387,1.506636068,1.285209182
148,2.012680836,1.890673647,1.121157768,0.984427271,0.784524243
149,2.103434612,1.982217784,1.200204894,1.076898662,0.822129662
150,2.121073745,2.008944701,1.59210084,1.4519883,1.249777898
151,2.068960033,1.949903191,1.154888008,1.031955687,0.799024546
152,2.099586429,1.985835364,1.189052418,1.016629299,0.824318273
153,2.052173624,1.925139924,1.431615354,1.300603627,1.117611673
154,2.075056928,1.953221485,1.346610493,1.211460103,0.977384752
155,2.213961029,2.088999329,1.581978307,1.452619413,1.232644464
156,2.197061615,2.077050437,1.435126361,1.324596772,1.051755588
157,2.143419165,2.030191499,1.321336434,1.187865594,0.994613974
158,1.989412616,1.875817929,1.210600903,1.088791183,0.889738469
159,2.053061602,1.936373621,1.145400554,0.989058066,0.797289251
160,2.125365155,2.010296578,1.561776534,1.426299863,1.218654468
161,2.226856958,2.103762666,1.650531991,1.502368788,1.298465774
162,2.057758225,1.936778063,1.17589719,1.011636416,0.802446041
163,2.003096646,1.885178769,1.214930639,1.089287431,0.864155945
164,2.031645837,1.90014289,1.034341505,0.892621288,0.705396155
165,2.04651051,1.945075502,1.126889622,1.033879758,0.780591278
