SID,LLX,LLY,RS_PM25,GS_PM25,AOD,NDVI,TMP,SPFH,WIND,HGT,U,V
482030002,-94.1675,32.669,16.487959,9.581249937,0.24596153,0.8161833,26.823662,0.0167654,1.5259035,90.25,170884.070701967,-538775.464351576
60250005,-115.483,32.6762,30.322216,11.83461542,0.11990323,0.1183,33.518597,0.008004597,2.9126856,0.75,-1804074.49710663,-354040.529461318
484391006,-97.3423,32.7592,16.35905,9.522580685,0.20809402,0.431,29.366669,0.015377333,2.6645868,179.75,-125033.477461644,-529478.021273727
130210007,-83.641,32.7775,15.137347,10.01935484,0.25800002,0.7222,26.699053,0.015673194,1.5664878,114.25,1147755.65677013,-453581.704968431
60731022,-116.944,32.7896,9.309108,8.864044954,0.1045241,0.33643332,21.297445,0.01037934,1.3682348,268,-1934474.66775954,-312936.840292031
450190049,-79.9587,32.791,15.566629,7.44222223,0.23457955,0.48611665,27.139412,0.017543623,2.3944213,3,1486593.85042641,-401048.454219329
60251003,-115.563,32.7922,25.880495,9.733333254,0.15932739,0.35838333,33.432423,0.007735374,3.2355094,-14.5,-1808732.49095586,-339851.503599796
130210012,-83.5435,32.8053,14.954122,8.525806458,0.26160195,0.6983167,26.91447,0.015896302,1.2150973,94,1156353.20617565,-449324.609579489
484391002,-97.3565,32.8058,16.35905,9.115000033,0.22885217,0.38728333,28.725365,0.015458537,2.9879403,218,-126281.893019652,-524260.868358976
481130069,-96.8601,32.8201,16.35905,9.489285725,0.23918018,0.38058332,29.33199,0.015680788,2.8733377,131.25,-80057.261067182,-523204.425017303
60731016,-117.124,32.8457,9.309108,8.184615374,0.12117391,0.3625,20.218287,0.011400918,1.7236798,130.25,-1949446.84314638,-303152.195038721
40210001,-111.752,32.8776,12.565313,6.9709678,0.14299363,0.17095,32.781994,0.008196683,2.7760632,423,-1458437.62450993,-396003.678558127
40213015,-112.037,32.8848,12.565313,14.6968751,0.15943903,0.30123332,33.153652,0.008311855,2.5457575,390.75,-1484441.42264544,-390798.720537482
