ID,MLR,ANN,GWR,GWANN,GNNWR,AGWNN
101,0.655579368,0.652858742,0.969817469,0.974247595,0.977785639,0.97895385
102,0.745914983,0.748954327,0.965829099,0.972376251,0.973651882,0.976005705
103,0.708528096,0.709244162,0.968482155,0.973466509,0.974359337,0.979822909
104,0.678886425,0.679427956,0.961820704,0.972371913,0.972066682,0.97592082
105,0.695052018,0.701362266,0.972357881,0.975148157,0.978493059,0.979391685
106,0.669666016,0.663894405,0.966024392,0.975411716,0.972648124,0.975830466
107,0.720138053,0.72054263,0.97058818,0.974911365,0.975238287,0.97652764
108,0.692023558,0.695488119,0.968759913,0.973510527,0.977501887,0.976408304
109,0.736246676,0.734418004,0.971677663,0.976902048,0.97894445,0.979377925
110,0.697443008,0.690826805,0.960495658,0.969375501,0.975183574,0.974210277
111,0.686579744,0.68145657,0.966700665,0.973846444,0.975888534,0.978035596
112,0.630797514,0.630921929,0.966816751,0.973516164,0.977151715,0.975545616
113,0.716964521,0.715232088,0.964683611,0.972887862,0.972775755,0.979506356
114,0.727456183,0.725337344,0.967661821,0.97479714,0.974937064,0.978922989
115,0.651906311,0.651598985,0.965878597,0.972955572,0.972467702,0.977705351
116,0.668558702,0.664130128,0.953301284,0.964804516,0.974845517,0.975915527
117,0.702854501,0.70594377,0.966604354,0.974456272,0.973140441,0.977100138
118,0.713011371,0.713191356,0.970345044,0.974016928,0.973698063,0.980920097
119,0.704321927,0.707573359,0.968162326,0.973620118,0.977132368,0.97894119
120,0.702824413,0.699591934,0.964677445,0.969382687,0.975887829,0.977191922
121,0.704131067,0.707051801,0.970233217,0.976616702,0.977389619,0.979990358
122,0.689605623,0.697530785,0.967953431,0.97326558,0.975778274,0.977818136
123,0.700100961,0.706292131,0.96837676,0.975170244,0.970421452,0.977256413
124,0.67630215,0.677813476,0.969568072,0.97383976,0.973329016,0.977581366
125,0.6515461,0.651992519,0.962987455,0.968036058,0.979971522,0.977906151
126,0.728787251,0.72809898,0.967237268,0.974407114,0.970627229,0.978947705
127,0.682261872,0.684485419,0.969213309,0.974125011,0.970234774,0.976021796
128,0.694364495,0.700122915,0.965967232,0.972107887,0.971001983,0.973666093
129,0.715470115,0.725826365,0.964011035,0.971435126,0.976027785,0.978289035
130,0.690448585,0.689785888,0.970864196,0.975276384,0.975103508,0.978508915
131,0.734495696,0.734820991,0.968057747,0.975612808,0.980562383,0.980050505
132,0.74235929,0.742790364,0.970740043,0.975061246,0.979215638,0.980056182
133,0.717617901,0.719228075,0.972565163,0.976921585,0.973853423,0.97840648
134,0.683667708,0.68225466,0.964912214,0.972400887,0.973800527,0.975356503
135,0.709193098,0.716615794,0.973603141,0.978764222,0.976759755,0.97763754
136,0.683723797,0.691091912,0.964662979,0.974494196,0.977918913,0.979338754
137,0.734587564,0.735641868,0.973231485,0.978229812,0.979516871,0.981842855
138,0.74243071,0.739626856,0.974342939,0.976941952,0.97630521,0.980800713
139,0.700544729,0.701439932,0.966949539,0.974022436,0.974984865,0.980536386
140,0.701878491,0.701555903,0.966002469,0.972526071,0.971971508,0.974661424
141,0.707133847,0.705318802,0.967429299,0.976924447,0.970440531,0.975471782
142,0.722627543,0.722953667,0.966726022,0.973926099,0.975750241,0.978774673
143,0.656411704,0.65075847,0.957916814,0.968677877,0.970168149,0.973490666
144,0.655980758,0.652965623,0.967229587,0.972746597,0.970804651,0.976985338
145,0.719959985,0.720875424,0.965724291,0.973023127,0.978372426,0.977386098
146,0.683534543,0.673123588,0.964020357,0.971078181,0.973279496,0.974397468
147,0.678408744,0.678616024,0.968704129,0.974037293,0.974606159,0.978713434
148,0.720328294,0.725814126,0.967239114,0.973556525,0.974641827,0.979982097
149,0.711338343,0.713732177,0.965306343,0.973229313,0.972514956,0.976246048
150,0.631622671,0.630691073,0.961823828,0.969393195,0.971005435,0.977358124
