SID,LLX,LLY,RS_PM25,GS_PM25,AOD,NDVI,TMP,SPFH,WIND,HGT,U,V
132950002,-85.3009,34.9788,7.3010697,6.803333366,0.0670274,0.4659,8.121559,0.005467659,1.4920602,208.75,966674.176755536,-227884.439945227
470650031,-85.2429,34.9944,7.3010697,5.727586167,0.060785715,0.43886667,7.872567,0.005479439,1.6532753,226.5,971695.049720431,-225558.652600522
370510009,-78.9531,35.0414,7.0207744,5.360000038,0.060890242,0.4799,9.813525,0.006041417,2.4385214,55,1533949.01836156,-137404.582029077
470654002,-85.293,35.0509,7.099534,5.760000026,0.057614285,0.43323335,8.103099,0.005516934,1.0594296,228.75,966477.966289091,-219788.130857345
471570024,-90.0416,35.1512,8.776236,7.340000002,0.107746266,0.23208334,7.6922693,0.005424615,2.2444847,69.75,537924.152781224,-246198.167437255
471570075,-89.8503,35.1517,8.776236,6.189655197,0.06267213,0.3719,7.7323966,0.005463556,2.0705738,83,555167.354337985,-245042.143346659
471570100,-89.8707,35.1613,8.776236,6.913333273,0.06267213,0.3719,7.7323966,0.005463556,2.0705738,83,553259.053999977,-244089.086080623
50350005,-90.1931,35.1973,8.776236,6.763333281,0.113584615,0.35475,7.300444,0.005393589,3.0721083,64.25,523948.959892463,-241895.648579591
371190045,-80.8741,35.2132,7.531341,5.557142803,0.07367073,0.43153334,8.620317,0.005420966,1.4985502,205.5,1359599.00301356,-147700.093337879
371190041,-80.7857,35.2401,7.531341,5.757142833,0.0619125,0.44168332,8.370253,0.00538975,1.6637254,236,1366997.1889419,-143459.838375974
60290016,-118.998,35.3246,8.900922,16.90454547,0.13312612,0.27191666,10.820141,0.005463979,1.7317601,116.75,-2052749.60751572,5939.99542334922
60290014,-119.063,35.3566,8.900922,16.21333333,0.13784483,0.2816,10.885662,0.005465769,1.7316719,120,-2057576.51138602,10822.520174012
60290010,-119.015,35.3856,8.900922,16.82857138,0.13312612,0.27191666,10.820141,0.005463979,1.7317601,116.75,-2052599.89894969,12935.4370950879
401359021,-94.5244,35.4081,8.250527,6.229999987,0.07892405,0.43001667,6.3523507,0.004639925,3.022209,220.5,132852.675660933,-233284.509940754
370990006,-83.2779,35.4668,5.778613,4.985714277,0.05846154,0.52099997,6.0383825,0.005175574,1.5925767,632.25,1141159.48104831,-151247.72340668
401090035,-97.5271,35.4729,7.5296645,6.193333356,0.083774194,0.21023333,6.3443265,0.004198317,3.8334012,382.75,-137372.434507351,-225958.989858672
370210034,-82.5844,35.6062,6.0492806,3.593333332,0.06913235,0.52531666,5.723888,0.004804081,1.5925984,664,1200767.18624906,-127245.205744698
401091037,-97.4751,35.6141,7.5137515,5.647999935,0.079604395,0.22246668,6.2276154,0.004191832,3.7985077,356.5,-132449.749721598,-210228.540140825
50670001,-91.1889,35.6373,8.180987,6.533333335,0.113545455,0.32831666,6.2688613,0.004904761,3.5660946,70.75,431691.772932682,-197729.625809516
370570002,-80.2627,35.8145,7.242508,5.413333352,0.059073173,0.5071667,7.3948727,0.005056081,2.1519399,217.75,1402966.28774804,-72389.7472705025
371830014,-78.5742,35.8561,6.6935086,5.770370347,0.061530866,0.48726666,8.605764,0.005520854,1.146506,82.25,1551037.46644447,-41559.095733291
40011235,-109.438,35.8804,3.3019843,1.173333327,0.09834343,0.16168334,0.96969396,0.003046263,1.9767144,1944.5,-1198432.16078385,-96568.7163774224
470930028,-84.036,35.9446,6.6026764,6.15714289,0.07051613,0.48853332,6.8482375,0.00512545,1.6948053,328.75,1066813.16566798,-107011.523934656
470931017,-83.9507,35.9781,6.6026764,6.117857175,0.07850769,0.41938335,7.083305,0.005189727,1.472587,292.25,1073904.23316634,-102329.369863222
470931013,-83.9258,35.9807,6.6026764,6.230769267,0.07850769,0.41938335,7.083305,0.005189727,1.472587,292.25,1076074.63343219,-101758.898739416
470931020,-83.8738,36.0192,6.6026764,5.267857122,0.07449181,0.47578335,7.171625,0.005127419,1.5048407,262.25,1080135.20952442,-96892.5435337601
370670030,-80.342,36.0266,6.841175,4.614285776,0.059973683,0.5007167,6.8608828,0.00482543,1.9922434,237.5,1392065.53875561,-50129.0109412851
370630015,-78.904,36.033,7.180396,5.176666625,0.058865853,0.5326667,7.934008,0.005202312,1.2920785,121.5,1518458.70674223,-27402.1029704124
60310004,-119.566,36.1022,10.572032,16.62413794,0.119444445,0.25293332,9.205023,0.005465866,1.7013181,57.75,-2081049.69041959,102752.474532351
370670022,-80.2245,36.1109,6.841175,5.677272753,0.05648684,0.4772,6.902753,0.004905271,2.241302,254.75,1400856.08731966,-39090.5970937636
320030540,-115.079,36.1419,6.146771,12.28620688,0.10229365,0.14416666,9.883496,0.00356578,1.0952656,612,-1689908.53251475,18048.7622737812
320030561,-115.114,36.164,6.146771,13.68800007,0.10229365,0.14416666,9.883496,0.00356578,1.0952656,612,-1692472.29030802,21096.9024910545
51430005,-94.1168,36.1797,7.5083885,6.537930982,0.07719512,0.37016666,5.084748,0.004316924,3.0200262,404.75,167833.988311209,-146261.111997123
401431127,-95.9765,36.2049,8.591899,5.966666651,0.07874712,0.36871666,5.899412,0.004169781,3.194363,219.25,2093.79912403551,-145101.474874172
471650007,-86.6531,36.2976,8.432269,6.467857063,0.064254545,0.46861666,6.836126,0.004803686,2.5673327,187,830427.018246943,-93848.2217210274
61072002,-119.291,36.3322,10.572032,17.71153855,0.11071818,0.45495,9.519789,0.005957139,1.306893,113,-2051006.0150106,121755.103168406
