Y,MLR_YHat,ANN_YHat,GWR_YHat,GWANN_YHat,GNNWR_YHat,AGWNN_YHat
12.91046508,9.726186172,9.318344152,9.97283531,10.18882933,13.47817062,13.85979221
10.50555555,11.93456746,12.53211881,13.45444034,13.69847643,11.0044357,9.710411982
6.16333338,5.270856902,5.240477372,5.737734718,5.727283396,4.995196602,5.407968232
10.77875042,8.678420346,8.821002144,9.20107171,9.360162065,9.189426326,9.965305856
5.659999989,5.87583545,5.907277016,6.02073418,5.828793887,5.742964636,5.958386927
8.543333316,6.937232128,6.894436558,7.272780828,7.419179917,10.34543337,8.24541005
4.713793091,6.621700358,6.738053996,5.769782978,5.747067594,5.080183591,5.508377108
7.076666665,8.842643301,8.903445681,6.805080016,6.903621264,7.001123608,6.914988423
6.665517264,7.393933535,7.379122216,9.137211003,9.290327383,9.58823096,9.217042187
6.656666621,8.635644212,7.79625542,7.259621724,7.418120086,7.593392191,7.015487559
7.65000004,8.642204395,8.222654067,7.74584359,7.78756008,7.721113146,6.796765893
8.637930985,6.008076151,6.25212382,6.162763863,6.462751189,7.627240225,6.965236019
6.14615382,5.820584063,6.024169689,5.663355367,5.431549556,5.575283889,5.504023707
7.916666659,8.806690035,9.009032652,9.284636667,9.513528347,8.325989317,8.693940986
5.964999968,5.38166165,5.470534072,6.458695706,6.444113951,6.947180812,6.228947888
5.741666625,5.000552701,5.033812945,5.688489055,5.730681008,5.910914313,6.226117844
8.144444413,4.240051108,3.975903486,6.432522748,6.468178442,6.62820907,7.065187985
4.414999974,4.811121414,4.537189941,5.571764363,5.658854946,4.952070273,5.851569335
6.330000043,5.470812289,5.089996514,6.093819344,6.21907958,5.256164808,6.412605838
3.473333323,5.615102711,4.954694015,5.545528358,5.434741773,3.926691394,4.374075916
4.673333375,10.68462096,11.18136869,9.34321094,9.262453409,8.013215754,7.03079423
5.649999936,5.802670136,5.443224399,6.06064172,6.176608363,5.31542778,6.347593825
12.79666664,12.24256031,12.80802443,11.39800105,11.87845682,10.49281842,11.07850396
7.146666638,5.293049059,4.763204241,6.11788901,6.283168222,5.538399292,6.577685742
5.860000086,4.6362421,4.169125717,5.920216105,6.068552318,5.417154417,6.446660177
7.775000048,5.293049059,4.763204241,6.114799089,6.264674089,5.518293894,6.565838192
5.789999998,7.516912867,7.034811578,6.43319314,6.579045102,5.795261826,6.431484828
6.816666659,6.572710977,6.644693896,7.764431489,7.98413905,9.78698838,8.465097278
6.279775249,5.32675469,4.634942836,6.042087001,6.151370404,5.886023402,6.482440116
7.58214283,10.70669968,11.44575275,10.71950486,10.58084684,10.37606355,8.564476399
5.15862067,5.453545981,5.682619441,4.960452887,4.928638608,4.736179883,4.91993312
7.316666667,6.043878584,5.321755855,6.171422159,6.284800703,5.879808042,6.543507496
12.88314609,13.47477763,14.54984736,15.36265754,15.44864964,14.71739479,14.72838148
6.353333334,6.043878584,5.321755855,6.172136338,6.288643779,5.869226931,6.542143351
13.13793101,13.47477763,14.54984736,15.38479243,15.50019373,14.85448156,14.85882616
12.39000002,13.25814662,14.11342333,14.04418066,14.14191562,13.51691915,14.14409554
3.956666668,9.896508073,10.39519005,8.649786975,8.710042055,8.595344438,7.707371315
15.62727274,13.47477763,14.54984736,15.40919242,15.46007705,15.00778854,15.00215379
