LON,LAT,U,V,Y,AGWNN_YH,AGWNN_BH0,AGWNN_BH1,AGWNN_BH2,AGWNN_BH3,AGWNN_BH4,AGWNN_BH5,GWR_YH,GWR_BH0,GWR_BH1,GWR_BH2,GWR_BH3,GWR_BH4,GWR_BH5
-89.9762,29.9432,580601.0153,-825307.0835,7.553333298,7.652853826,-0.262849258,-0.35125318,-0.105622701,-0.529886053,0.622960258,-0.255189883,0.488955366,0.600360933,0.385762254,0.088208998,1.071190942,-0.740056509,-0.059027371
-90.1182,29.996,566569.7192,-820316.7368,7.603225839,7.768153419,-0.234226023,-0.332630415,-0.127806859,-0.5428223,0.648595222,-0.216518132,0.620078162,0.601911314,0.38403868,0.085006318,1.064021252,-0.732353852,-0.056658201
-90.2728,30.0412,551393.8961,-816219.3199,6.966666651,7.287238662,-0.203877976,-0.312492474,-0.147046382,-0.557975424,0.675195882,-0.173121228,0.788345103,0.604548784,0.381548851,0.080573144,1.055017867,-0.723102073,-0.054606079
-81.634,30.1358,1377097.431,-718053.9665,6.696774237,6.696893349,-1.129710263,0.88905573,-0.254523832,1.978491095,-0.020997923,0.117075044,0.425224045,0.600574587,0.036011535,-0.283190502,2.250578412,-1.876066108,-0.104947746
-91.0626,30.2191,474403.2351,-800765.2927,7.800000006,7.563413287,0.006660715,-0.045448699,-0.241197515,-0.480300514,0.769934569,0.114210037,0.746201514,0.619473118,0.362024937,0.047040556,1.003044713,-0.665033676,-0.052473297
-92.0429,30.2261,380241.3098,-804396.9641,7.622580644,7.753206848,0.314201528,0.531637014,-0.31681399,-0.152227119,0.708575351,0.391390212,0.549396942,0.602027612,0.325737795,-0.022718751,0.975066981,-0.579305542,-0.06975926
-93.58,30.2278,232577.2501,-809164.3959,6.989655117,7.333991025,0.717311269,1.677141936,-0.091209262,0.507205562,0.201251593,0.227710062,0.32048549,0.504141221,0.300105674,-0.129853274,0.878879555,-0.340090209,-0.152589426
-81.5478,30.3547,1381614.859,-692776.8153,6.923333327,7.136664503,-1.110724074,0.829621033,-0.323503766,2.00707452,-0.068652788,0.058430541,0.427916543,0.486242878,0.029992313,-0.289478975,2.345653831,-1.899456973,-0.124621899
-84.3464,30.4397,1114421.894,-720179.0252,9.161290292,8.809722222,-0.926377294,1.448404461,0.540021985,2.475872174,-0.390446945,0.086862859,0.803132741,0.802803064,0.098785027,-0.204863589,1.736964432,-1.454021538,-0.155681375
-91.1792,30.462,461841.8155,-774400.002,8.233695613,8.587244578,0.05031416,0.024666847,-0.207219778,-0.494657192,0.801834078,0.198214757,1.15488673,0.638402806,0.365489876,0.053261323,0.955788851,-0.640301961,-0.053889182
-87.8803,30.4975,776933.3989,-748961.8803,6.853846156,6.973617083,-0.468485967,0.317002867,0.37270992,0.416978452,-0.062792249,-0.43798568,0.163025319,0.530544484,0.357124911,0.069504057,1.266315551,-0.868254789,-0.098172255
-91.2136,30.5006,458333.1505,-770284.0109,8.632258072,8.581105856,0.068445177,0.057408675,-0.209151669,-0.478745142,0.806128079,0.222422574,1.156790727,0.641900209,0.36559675,0.053470807,0.946274521,-0.634484601,-0.054312061
-90.3772,30.5033,538320.3729,-765598.6368,6.962068919,7.548461829,-0.158845311,-0.226517078,-0.101434917,-0.582879177,0.706938151,-0.08389664,0.447765459,0.613792832,0.388320795,0.093453128,1.024124867,-0.708526689,-0.051293833
