UTM-X,UTM-Y,X1,X2,X3,X4,Y,LL-X,LL-Y
584217.75,4500429.5,2,1,1,4.54,52.93478261,-74.00387,40.65043
587402.8125,4505551,6,1,2,4.78,356.076087,-73.96549,40.69623
584127.0625,4509400,2,1,1,4.88,275,-74.00374,40.73124
585517.5625,4509145,2,1,2,4.79,220,-73.98731,40.7288
584950.75,4503916,4,1,2,4.81,215,-73.99473,40.68176
588701,4507224,1,1,1,4.95,55,-73.94989,40.71116
587858.125,4504135.5,4,1,2,5,155,-73.9603,40.68343
586808.375,4516036,2,1,1,4.89,203.8043478,-73.97107,40.79073
586282.5625,4515254.5,2,1,1,4.71,155,-73.97741,40.78375
586486,4513082,2,1,1,4.75,165.7065217,-73.9753,40.76416
588984.375,4503528,3,1,2,4.67,150,-73.94706,40.67784
589702.125,4503796.5,4,1,1,4.47,125,-73.93853,40.68018
590472.8125,4512534.5,1,1,1,4.77,43,-73.92815,40.7588
590123.375,4506556,2,1,1,4.5,75,-73.93315,40.70499
584726.75,4512645.5,1,1,1,0,95,-73.9962,40.76041
592003.6875,4505364.5,1,2,1,4.87,33.07608696,-73.91107,40.69405
588430.125,4513922,2,1,1,4.79,85.08695652,-73.95215,40.77152
583771.625,4509689,5,1,1,4.69,350,-74.00791,40.73388
588207.875,4507844.5,6,1,2,4.69,225,-73.95564,40.7168
587965.9375,4503380.5,3,1,1,4.76,140.3804348,-73.95913,40.67662
584215.5,4509571,3,1,1,4.71,246.7391304,-74.00267,40.73277
588582.0625,4519632,6,1,1,4.87,233.1847826,-73.94954,40.82293
588365.9375,4516892.5,2,1,1,4.52,90,-73.95249,40.79828
586557.875,4501409,4,1,2,4.47,199,-73.97606,40.65901
590686.25,4506335.5,2,1,1,4.82,119.4021739,-73.92652,40.70294
591192.75,4504446.5,2,2,1,0,165,-73.9208,40.68587
585678.5,4508085.5,2,1,1,4.94,158,-73.98555,40.71924
588162.0625,4517296.5,4,1,0,4.76,135,-73.95485,40.80194
588094.1875,4519590.5,2,1,1,4.58,99,-73.95533,40.82261
590200.625,4504441,2,2,1,4.71,55,-73.93254,40.68593
585659.25,4509382,2,0,1,5,121,-73.9856,40.73092
586381,4503318.5,2,1,1,4.88,165,-73.97789,40.67623
587670.8125,4501815,2,1,1,4.71,70,-73.96284,40.66255
587678.1875,4503052,4,1,2,4.82,150,-73.96258,40.67369
583888.4375,4509365,3,1,1,4.38,392.1195652,-74.00657,40.73095
585698,4514645,2,1,0,4,150,-73.98442,40.77832
588384.6875,4504771,2,1,1,4.5,60,-73.95398,40.6891
586712.6875,4515633,7,2,2,4.95,350,-73.97226,40.78711
587437.25,4507290,1,1,1,4.82,69,-73.96484,40.71189
584412.375,4509335.5,2,1,1,4.58,120,-74.00037,40.73063
589519.6875,4506802,2,1,1,4.5,58,-73.94026,40.70727
588138.75,4502777.5,4,1,1,4.83,140,-73.95717,40.67117
587690.875,4518660.5,6,1,1,4.93,135,-73.960243,40.814278
587600.8125,4505240.5,2,1,1,4.66,96,-73.96319,40.69341
600484.5625,4511737.5,2,1,0,4.71,82.09782609,-73.80969,40.75046
586799.625,4511023,4,1,0,0,500,-73.97187,40.74558
593488.75,4511837,2,1,1,0,120,-73.89253,40.75218
587436,4503738.5,6,2,2,4.79,727.25,-73.96535,40.6799
585991.1875,4508944,10,2,4,4.77,2651.630435,-73.98173,40.72694
585576.6875,4502259,6,2,3,5,329,-73.98755,40.66677
587944.375,4504347.5,2,1,1,4.77,280.5434783,-73.95925,40.68533
584545.1875,4511021.5,4,1,2,4.84,560.5,-73.99857,40.7458
586599.875,4504407,5,1,2,4.7,199,-73.97515,40.68601
587482.4375,4504601.5,3,1,1,4.64,228,-73.96468,40.68767
586473.75,4500427.5,2,1,1,4.66,133.423913,-73.97719,40.65018
586008.125,4506097.5,2,1,1,4.71,85,-73.98192,40.7013
591265.375,4506099.5,2,0,1,0,60,-73.9197,40.70075
589030.375,4506810.5,2,0,1,4.85,99,-73.94605,40.7074
588590.625,4503377,2,1,0,4.47,69,-73.95174,40.67652
589440.8125,4507736,1,1,1,5,80,-73.94106,40.71569
588816.125,4501623.5,3,2,1,4.08,55,-73.94932,40.6607
587711.5,4507173.5,2,2,1,4.84,106.0326087,-73.96161,40.71081
583789.125,4509858,2,1,1,4.78,199,-74.00768,40.7354
591096.6875,4513224,4,1,1,4.52,91.43478261,-73.92066,40.76494
586810.375,4504765,2,1,1,4.8,99,-73.97261,40.68921
588990.625,4517710.5,2,1,0,4.67,169,-73.94497,40.80558
589301.625,4518010.5,6,1,2,4.55,165,-73.94124,40.80825
