LON,LAT,U,V,Y,AGWNN_YH,AGWNN_BH0,AGWNN_BH1,AGWNN_BH2,AGWNN_BH3,AGWNN_BH4,AGWNN_BH5
-83.5978,32.6056,1154240.1255993,-472071.138189339,8.283333333,8.25489349536151,-0.684326011766704,0.440831887698315,-0.000436087444108169,1.8424902045321,-0.577564010364962,-0.172485258373957
-117.059,32.6312,-1948806.18630886,-327827.313775726,7.1433333,6.87438026876542,-0.348271642114017,-0.423009575978469,-0.377867648617938,0.706054972822453,1.11462034214758,0.0410284193479742
-97.3379,32.6648,-124771.896360973,-540013.256974759,7.375000094,7.78579626144048,1.03728934073808,2.1695574167029,0.494736270152527,-0.504119709819528,-0.0610593477833336,-1.36075571971493
-94.1675,32.669,170884.070701967,-538775.464351576,9.154545437,9.55474893289916,0.911878265589203,1.2881479469499,0.525824367618264,-0.610131973182158,0.422370766176065,0.503635227603589
-115.483,32.6762,-1804074.49710663,-354040.529461318,7.888372138,7.85782835965146,0.639150280188749,-0.109624991165014,-0.280920903764672,1.21518329871692,2.52563793689411,-0.42991302041112
-97.3423,32.7592,-125033.477461644,-529478.021273727,7.286206936,7.33395459767276,1.05351540538458,2.11298224485374,0.47892048387478,-0.544398372061956,-0.0311887060048724,-1.30133538249229
-83.641,32.7775,1147755.65677013,-453581.704968431,9.349999968,8.31332363234169,-0.642153682190322,0.364912064541511,-0.00481346487812298,1.72824903657331,-0.559883403693655,-0.190205258712005
-116.944,32.7896,-1934474.66775954,-312936.840292031,6.366304328,6.29768383202364,-0.211627247839517,-0.355172204342101,-0.405958675280015,0.668200621456098,1.27409200473703,-0.0264353243054589
-79.9587,32.791,1486593.85042641,-401048.454219329,7.308888872,7.30387972869037,-0.658103176932497,-0.0924068679998951,-0.902455816096554,1.02367544587989,-0.0389381910455405,-1.12734563793081
-115.563,32.7922,-1808732.49095586,-339851.503599796,5.468965498,5.17192948463247,0.660716656851704,-0.0760461771607777,-0.328611287985289,1.10746393687536,2.53314022026401,-0.437640547270316
