Y,ANN_YHat,GWRFG_Yhat,GWRFB_YHat,GWRAG_YHat,GWRAB_YHat,MGWR_Yhat,AGWNN_YHat
10.28387091,7.798404291,8.304952281,7.507946781,8.502171828,8.466323748,8.361016705,8.772404283
8.506451622,8.491024084,9.169225383,8.027571677,9.338339949,9.221011266,9.052638587,9.379514557
5.700000007,7.060909439,6.980854713,6.636146897,7.024721677,6.818599779,8.264838151,6.725473492
8.563440866,7.822713383,8.488342403,7.539093466,8.513871404,8.502872697,8.576191262,8.222343014
5.774193587,6.318808318,7.321128297,7.210616238,7.352013046,7.363774321,6.711013912,6.266392868
7.755555559,7.639144337,7.397092576,7.204045797,7.72527211,7.631610497,7.283033931,7.787587647
9.151612912,8.107737718,8.460880647,7.729521749,8.702931162,8.538314906,8.62975655,8.136157213
7.132967059,8.251966125,8.707806064,7.348352537,8.828280354,8.59315078,8.005121522,7.582064174
8.916129051,8.107737718,8.459218184,7.730811276,8.704490369,8.536637514,8.631657027,9.104507636
7.16938772,8.251966125,8.71026089,7.346388968,8.829145397,8.593122993,8.012311069,7.6491246
7.238461515,8.064076659,8.244569356,7.524808548,8.169234041,8.149452359,7.864064543,8.007252708
5.640000002,6.168046798,6.931720145,7.187545006,6.887050365,7.021479586,7.300199713,5.245812773
8.43333333,8.251966125,8.713264993,7.344061852,8.830325047,8.593262777,8.020027221,8.249962184
8.493150682,7.959469703,8.155258954,7.501126658,8.127350248,8.077838886,7.901000948,7.484949814
5.979999924,7.349688593,7.488451888,7.039590125,7.45358535,7.634421372,7.420172093,7.342578724
8.131034481,7.886836383,7.770122857,7.505939389,8.0458794,7.899143098,8.326498319,8.243088198
9.022222224,8.096251417,8.592117548,7.142787132,8.458974574,8.422438335,7.671798345,9.604413962
7.586666648,8.198379878,8.479094122,7.609580055,8.33742639,8.347522326,8.174138357,8.034254086
8.40322576,8.127191601,8.320086194,7.653552752,8.504523125,8.383101551,8.461385136,8.430549695
10.16705877,7.779961093,8.16180081,7.009543702,8.231146081,8.000003734,7.64041561,9.13831883
7.886813174,7.875310664,7.891923752,7.509594769,7.830282453,7.976194355,7.43241131,7.435351533
9.061956525,7.647871257,7.830141428,7.173019022,7.767797542,7.661158275,8.081671792,7.449486441
6.904166589,7.839832068,7.968070008,7.51186962,7.843927284,8.02494069,7.484854269,6.760709244
10.72000008,7.726350393,8.034986518,7.275842484,7.941001269,7.917907906,7.582939929,10.04689073
8.009677449,7.719693104,7.7304782,7.462979381,7.576720817,7.629274049,8.14164715,8.239574202
8.153333378,6.798676762,6.470556298,6.701700031,6.438840781,6.312054121,8.520200652,7.935211535
7.041379361,7.034518741,7.157615924,6.85343958,7.162820953,6.977313014,7.936437935,7.459136151
7.149999965,7.737728897,7.26426273,7.367276893,7.292745346,7.263575214,7.055678809,7.131822021
3.384615364,4.113629867,3.733653952,4.395327076,3.847597044,3.220052046,4.730320911,3.368979379
8.188888938,7.313989804,7.095086721,6.983697893,7.372154855,7.263963459,7.312309498,7.066500029
7.606451542,7.580227523,7.825114576,7.461688974,7.812836138,7.849000998,7.564649997,8.494263201
