Y,ANN_YHat,GWRFG_YHat,GWRFB_YHat,GWRAG_YHat,GWRAB_YHat,MGWR_YHat,AGWNN_YHat
9.164516203,9.199260593,9.672142882,9.239959277,9.593788466,9.671089017,9.483908592,9.229461748
9.335483782,9.081526713,9.393807415,8.976966073,9.265137969,9.392417292,9.191623356,9.345993878
12.55666657,8.964206653,9.742892765,9.375065214,9.492897824,9.539217984,10.65497492,12.75672924
9.361290393,9.199260593,9.682171515,9.241293324,9.599565219,9.681599037,9.514456644,9.778189153
8.961290306,9.063287764,9.718379953,9.284145325,9.645863695,9.670974995,10.13094876,9.208891526
9.01290326,9.29962605,9.51974216,9.043161635,9.468915094,9.539287962,9.152246033,9.077862118
8.435483886,9.294731314,8.76117877,9.122316531,8.837212718,8.810594993,8.762357027,8.928188165
8.696666654,9.205198596,10.66610169,9.017580987,10.45464365,10.49140725,9.295645788,8.422439854
9.833333413,9.533567238,9.226132037,9.045292003,9.248397077,9.350576146,9.247974695,9.978673637
9.581249937,8.966962231,9.44466989,8.995118181,9.489829512,9.439043038,10.10533218,10.335056
11.83461542,9.474617438,10.61037414,9.434835342,9.949690943,10.00355745,10.49877509,11.45600211
9.522580685,9.630053864,9.628983837,9.305780295,9.210815094,9.36274647,9.501449914,9.741940229
10.01935484,9.433253462,9.062173197,9.226747666,9.132858671,9.101502889,8.971226493,8.922119837
8.864044954,9.093501724,9.071598057,9.05778036,8.983157626,9.043359071,8.870712843,8.717420036
7.44222223,8.664568886,7.612084258,8.867672894,7.693465307,7.631181111,8.011600467,7.704138015
9.733333254,9.136787385,10.50628288,7.289532477,8.99015809,9.175253056,10.07786673,9.181716596
8.525806458,9.505588309,9.256103261,9.461288467,9.293312196,9.27215394,9.234285144,9.226015444
9.115000033,9.494359494,9.457376746,9.343332028,9.487651304,9.622580383,9.429956355,9.356825263
9.489285725,9.484984599,9.827031975,9.577118529,9.906129128,10.05637717,9.701124493,9.67952475
8.184615374,9.165796472,10.34789933,9.070736884,10.14888586,10.21720175,9.21835888,8.478205945
