ANN_Q1,ANN_Q2,ANN_Q3,ANN_Q4,AGWNN_Q1,AGWNN_Q2,AGWNN_Q3,AGWNN_Q4
587.551454657254,540.979287310504,1070.69057025709,1880.58166971216,210.326996734419,243.386358121687,361.528328394448,747.052883645808
594.373746797799,536.144561948394,1075.62523357242,1918.64232240097,207.5179280291,239.756821496008,358.70823305937,737.809010968171
591.7161397585,526.783260855994,1068.14661193409,1911.44058434752,207.048893501639,235.866800350878,349.6919116599,737.661208441767
588.487225016568,532.536486881627,1101.91891650491,1886.38230592994,204.036261618163,235.301641519728,347.733703821753,718.103376629115
594.944317509488,527.616323881656,1080.4667649965,1919.04746410799,202.646269808409,236.019627360949,342.128417365396,713.689642073723
593.716996622776,529.710625471169,1076.46740594421,1910.10922815037,200.257262966549,232.480885683998,342.886936527414,700.477213627071
589.861984991402,539.062651855858,1078.49286702688,1923.10287012443,200.257526884402,232.352345418298,343.743073426877,692.604225178898
584.85489111242,536.023687078198,1070.82011135725,1904.98901023326,202.523923335507,230.534912249835,336.738968929305,689.185992631532
585.377516630313,536.892743836177,1071.19223427952,1886.67970505214,198.404895402788,229.582537406807,331.935175426913,687.278662706573
590.575296611515,538.912296042228,1069.97271093628,1899.68147757693,195.46735494808,229.732534047052,331.65519566323,689.566969628212
595.469956139075,531.238443974701,1072.06948688202,1882.52513766228,199.195393470643,230.266987988638,329.389343039771,689.02496479852
600.858366211575,532.048429156596,1067.71618354763,1886.37933798021,195.110265467927,226.749429475481,323.933290284337,673.107964859569
586.237852921283,526.66616115626,1083.52985714538,1882.30702944155,193.721929828835,227.457841383977,320.150235766662,670.11850178961
584.771890108235,527.381857221427,1077.23041396963,1903.90178984752,190.883511010404,225.516012816201,319.968390398311,655.232588947678
584.892866198388,532.297940449303,1081.66187078937,1904.90329904814,190.948145281078,227.100582337355,321.437278935832,654.348403578473
586.518385061866,531.449254658314,1069.68087427501,1892.83023221783,189.177162668386,223.693477336155,315.694659620275,655.656876819039
585.422858980637,527.288404942097,1066.17907276837,1882.30941809857,189.66494815436,223.933153364403,315.561218250629,662.997360932134
588.666902431422,528.510224706351,1085.42924218991,1880.4317612348,191.204684324444,223.800244340039,314.460838817729,643.179911595835
585.190357638134,540.38265733176,1066.42909497404,1881.77620529437,188.334765057498,221.773803216703,317.826112206168,643.978111639319
594.347953439889,532.850390913346,1069.76793302256,1884.91211444584,186.945568585058,220.871612428778,314.675673039072,646.887233233504
