LON,LAT,U,V,Y,AGWNN_YH,AGWNN_BH0,AGWNN_BH1,AGWNN_BH2,AGWNN_BH3,AGWNN_BH4,AGWNN_BH5,GWR_YH,GWR_BH0,GWR_BH1,GWR_BH2,GWR_BH3,GWR_BH4,GWR_BH5
-83.2933,30.8486,1208495.459,-662240.7558,8.150000008,8.087274503,-0.21985283,-0.04103897,0.168856603,-0.5489589,0.018561029,-0.234660381,0.047011549,0.618285047,-0.400104521,0.098469635,0.894895826,-0.70234975,-0.253134301
-81.495,31.1698,1372848.429,-602460.1653,8.096666686,8.041228547,-0.020956583,-0.444745423,0.029471221,0.625395279,-0.133249773,-0.245734239,0.07945271,0.555573213,-0.214776158,0.033674837,0.855546475,-0.80612018,-0.243928069
-92.4107,31.1778,340922.84,-700104.6833,9.183333222,9.356012676,-0.080288516,0.486037652,-0.250653542,-0.632283565,0.165464228,0.413236094,0.960395815,1.595603725,0.662690102,-0.284036242,0.020201136,-0.723367774,-0.058514255
-85.3908,31.2248,1005259.495,-645144.4251,8.627586151,8.76793674,-0.10460375,0.387777574,-0.232178497,-1.074220965,-0.289243676,-0.338924166,0.529948748,0.808880129,-0.470896027,0.007308844,0.736189951,-0.496978312,-0.174685526
-110.937,31.3372,-1410487.964,-577731.3931,5.793749973,5.949833308,0.510264221,-1.667131143,4.094021902,4.268192763,0.073612862,-0.047512391,0.097718832,3.975355086,0.753807607,2.002807733,0.63057465,0.28499507,0.161821284
-82.75,31.5131,1249565.282,-581978.6309,7.66451618,8.018617234,-0.124477257,-0.199916283,-0.025550391,-0.099888835,0.057409757,-0.289171433,0.276902664,0.672770448,-0.253426869,-0.008547431,0.892031917,-0.850213807,-0.261394469
-84.0998,31.5776,1122077.266,-591703.7571,8.674193562,8.535997813,-0.178616404,0.092460685,-0.044229576,-0.755300017,-0.044444449,-0.320168241,0.511670262,0.783741336,-0.377367255,-0.001152216,0.866491712,-0.748933149,-0.229506514
-106.455,31.7657,-984097.3002,-586917.5059,8.796551762,7.67915942,-0.012006187,0.106735927,0.749651327,0.707405403,-0.096942518,0.322586746,-0.389788557,3.264343462,2.411570694,3.432187363,1.455183391,-1.907006921,0.96022933
-106.501,31.7683,-988377.6109,-586152.3185,5.762500048,6.942842665,-0.009790093,0.096371258,0.778018291,0.738058805,-0.099958814,0.327194697,-0.389853576,3.306520353,2.414694584,3.437850147,1.454891472,-1.8903587,0.959345583
-81.1618,32.1107,1387839.722,-494102.2598,8.296153848,8.20021914,0.015465343,-0.53079258,-0.309562682,0.752737636,-0.054935053,-0.34575503,0.14665281,0.631219864,-0.05158031,-0.115835317,0.841492603,-0.957478991,-0.267021016
