ID,pr_ann,pr_gwr_fg,pr_gwr_fb,pr_gwr_ag,pr_gwr_ab,pr_agwnn
963,0.7825694,0.980119313,0.830608303,0.975461359,0.978626807,0.988512908
964,0.743418103,0.976985772,0.800179447,0.971752569,0.976113714,0.986427993
965,0.759330315,0.975127774,0.809372069,0.970167921,0.972823984,0.985749978
966,0.764331484,0.978184259,0.810865348,0.974589164,0.977027296,0.987774864
967,0.797735739,0.97846145,0.84156488,0.972447358,0.976372077,0.988000268
968,0.778438204,0.977581269,0.831308426,0.972342686,0.9750729,0.987391671
969,0.799878539,0.977537248,0.845391866,0.976727788,0.978172957,0.988342326
970,0.763255417,0.973057803,0.814698211,0.968145781,0.970131985,0.985454646
971,0.72281359,0.974228574,0.779448708,0.970908839,0.973074952,0.98824912
972,0.761125644,0.976163928,0.799047904,0.971073498,0.974448843,0.987123334
973,0.790970466,0.980166623,0.839371761,0.974935441,0.978102368,0.986359646
974,0.789696294,0.979363495,0.839180385,0.974025308,0.97732696,0.987240656
975,0.731691558,0.974800684,0.783654814,0.970010745,0.97288247,0.983434464
976,0.761754869,0.979547835,0.811876808,0.974856103,0.978106572,0.988870706
977,0.788353489,0.979801647,0.831437468,0.97563997,0.978136196,0.988242229
978,0.811780864,0.979258544,0.849612954,0.975642572,0.977831046,0.987660832
979,0.749477782,0.980020944,0.805127683,0.976573004,0.979223164,0.988242105
980,0.786851053,0.978158853,0.833133367,0.971930868,0.975651938,0.987381288
981,0.779299161,0.980812684,0.819625369,0.97619423,0.979074536,0.989929256
982,0.721259508,0.972580551,0.783776791,0.966685374,0.971204266,0.988664535
983,0.756581388,0.978089925,0.812183425,0.976108955,0.977724588,0.988708834
984,0.747897385,0.978818108,0.799998282,0.974636824,0.977462148,0.987412096
985,0.743238642,0.974713356,0.795958411,0.971465309,0.97362397,0.986611464
986,0.734677859,0.977687056,0.795231698,0.972919583,0.976532905,0.986369536
987,0.786673855,0.977282152,0.82380274,0.973127192,0.975777046,0.987452873
988,0.81204684,0.979705266,0.849120868,0.974821972,0.977322444,0.986296327
989,0.770571328,0.976991351,0.818913946,0.97430464,0.975708205,0.989228203
990,0.751145267,0.977572544,0.801842415,0.973673372,0.97615528,0.986580451
991,0.77399787,0.975863969,0.813818563,0.973503097,0.974812876,0.985432918
992,0.786069658,0.978653853,0.829617152,0.975856858,0.977294903,0.988096267
993,0.747734591,0.977852422,0.792261233,0.972571727,0.97570003,0.985842158
994,0.772567321,0.978379477,0.815975307,0.973457223,0.976929539,0.988065428
995,0.775231942,0.974441019,0.820232797,0.970062101,0.97320197,0.985064358
996,0.769659706,0.976226314,0.817127084,0.970597106,0.97472893,0.986652057
997,0.760084124,0.975585948,0.809421756,0.969093635,0.972803742,0.985049189
998,0.770349472,0.97531944,0.814684144,0.97186716,0.973754145,0.984911152
999,0.766783113,0.976958535,0.815519771,0.973211156,0.975895633,0.987190719
1000,0.764854928,0.977312118,0.812702612,0.973127691,0.975022203,0.986993729
